Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DigiBankSG_Login,,,2018-05-25 17:41:07,2018-05-25 17:42:46,1m - 38.564s,PASSED
,,,,,,
Test Cases/DigibankSG_Login_Module/DigiBankSG_Login_TC001_BlankUserName_ErrorValidation,,,2018-05-25 17:41:07,2018-05-25 17:42:45,1m - 37.936s,PASSED
startApplication,,,2018-05-25 17:41:08,2018-05-25 17:41:48,40.466s,PASSED
tap,,,2018-05-25 17:41:48,2018-05-25 17:41:56,7.627s,PASSED
delay,,,2018-05-25 17:41:56,2018-05-25 17:42:01,5.040s,PASSED
tap,,,2018-05-25 17:42:01,2018-05-25 17:42:03,1.618s,PASSED
delay,,,2018-05-25 17:42:03,2018-05-25 17:42:08,5.003s,PASSED
tap,,,2018-05-25 17:42:08,2018-05-25 17:42:09,1.044s,PASSED
tap,,,2018-05-25 17:42:09,2018-05-25 17:42:27,18.179s,PASSED
tap,,,2018-05-25 17:42:27,2018-05-25 17:42:33,6.479s,PASSED
setText,,,2018-05-25 17:42:33,2018-05-25 17:42:35,1.660s,PASSED
hideKeyboard,,,2018-05-25 17:42:35,2018-05-25 17:42:36,0.934s,PASSED
tap,,,2018-05-25 17:42:36,2018-05-25 17:42:38,1.937s,PASSED
setText,,,2018-05-25 17:42:38,2018-05-25 17:42:39,1.427s,PASSED
hideKeyboard,,,2018-05-25 17:42:39,2018-05-25 17:42:41,1.553s,PASSED
tap,,,2018-05-25 17:42:41,2018-05-25 17:42:42,0.736s,PASSED
verifyElementAttributeValue,,,2018-05-25 17:42:42,2018-05-25 17:42:43,0.870s,PASSED
closeApplication,,,2018-05-25 17:42:43,2018-05-25 17:42:45,2.926s,PASSED
