Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer Login,,,2018-05-31 14:07:31,2018-05-31 14:09:24,1m - 53.215s,PASSED
,,,,,,
Test Cases/Mobile/DigibankSG_Login_Module/DIGIBANKSG-1,,,2018-05-31 14:07:31,2018-05-31 14:09:24,1m - 52.719s,PASSED
startApplication,,,2018-05-31 14:07:32,2018-05-31 14:08:17,45.685s,PASSED
tap,,,2018-05-31 14:08:17,2018-05-31 14:08:28,11.028s,PASSED
delay,,,2018-05-31 14:08:28,2018-05-31 14:08:34,5.032s,PASSED
tap,,,2018-05-31 14:08:34,2018-05-31 14:08:35,1.664s,PASSED
delay,,,2018-05-31 14:08:35,2018-05-31 14:08:40,5.005s,PASSED
tap,,,2018-05-31 14:08:40,2018-05-31 14:08:41,1.038s,PASSED
tap,,,2018-05-31 14:08:41,2018-05-31 14:09:08,26.368s,PASSED
tap,,,2018-05-31 14:09:08,2018-05-31 14:09:12,4.510s,PASSED
setText,,,2018-05-31 14:09:12,2018-05-31 14:09:14,1.631s,PASSED
hideKeyboard,,,2018-05-31 14:09:14,2018-05-31 14:09:15,1.363s,PASSED
tap,,,2018-05-31 14:09:15,2018-05-31 14:09:17,1.972s,PASSED
setText,,,2018-05-31 14:09:17,2018-05-31 14:09:19,1.509s,PASSED
hideKeyboard,,,2018-05-31 14:09:19,2018-05-31 14:09:20,1.083s,PASSED
tap,,,2018-05-31 14:09:20,2018-05-31 14:09:20,0.747s,PASSED
verifyElementAttributeValue,,,2018-05-31 14:09:20,2018-05-31 14:09:21,0.809s,PASSED
closeApplication,,,2018-05-31 14:09:21,2018-05-31 14:09:24,2.802s,PASSED
