Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DigiBankSG_Login,,,2018-06-01 10:59:32,2018-06-01 11:04:56,5m - 23.837s,FAILED
,,,,,,
Test Cases/Mobile/DigibankSG_Login_Module/DigiBankSG_Login_TC001_BlankUserName_ErrorValidation,,,2018-06-01 10:59:32,2018-06-01 11:01:28,1m - 55.426s,PASSED
startApplication,,,2018-06-01 10:59:33,2018-06-01 11:00:35,1m - 1.931s,PASSED
tap,,,2018-06-01 11:00:35,2018-06-01 11:00:44,9.054s,PASSED
delay,,,2018-06-01 11:00:44,2018-06-01 11:00:49,5.041s,PASSED
tap,,,2018-06-01 11:00:49,2018-06-01 11:00:51,1.538s,PASSED
delay,,,2018-06-01 11:00:51,2018-06-01 11:00:56,5.003s,PASSED
tap,,,2018-06-01 11:00:56,2018-06-01 11:00:57,0.950s,PASSED
tap,,,2018-06-01 11:00:57,2018-06-01 11:01:14,17.289s,PASSED
tap,,,2018-06-01 11:01:14,2018-06-01 11:01:17,2.813s,PASSED
setText,,,2018-06-01 11:01:17,2018-06-01 11:01:18,1.536s,PASSED
hideKeyboard,,,2018-06-01 11:01:18,2018-06-01 11:01:19,0.952s,PASSED
tap,,,2018-06-01 11:01:19,2018-06-01 11:01:21,1.897s,PASSED
setText,,,2018-06-01 11:01:21,2018-06-01 11:01:22,1.413s,PASSED
hideKeyboard,,,2018-06-01 11:01:22,2018-06-01 11:01:23,0.962s,PASSED
tap,,,2018-06-01 11:01:23,2018-06-01 11:01:24,0.712s,PASSED
verifyElementAttributeValue,,,2018-06-01 11:01:24,2018-06-01 11:01:25,0.804s,PASSED
closeApplication,,,2018-06-01 11:01:25,2018-06-01 11:01:28,2.875s,PASSED
,,,,,,
Test Cases/Mobile/DigibankSG_Login_Module/DigiBankSG_Login_TC001_BlankUserName_ErrorValidation_Fail,,,2018-06-01 11:01:28,2018-06-01 11:04:53,3m - 25.473s,FAILED
startApplication,,,2018-06-01 11:01:28,2018-06-01 11:02:13,45.021s,PASSED
tap,,,2018-06-01 11:02:13,2018-06-01 11:02:21,7.424s,PASSED
delay,,,2018-06-01 11:02:21,2018-06-01 11:02:26,5.009s,PASSED
tap,,,2018-06-01 11:02:26,2018-06-01 11:02:27,1.669s,PASSED
delay,,,2018-06-01 11:02:27,2018-06-01 11:02:32,5.002s,PASSED
tap,,,2018-06-01 11:02:32,2018-06-01 11:02:33,1.098s,PASSED
tap,,,2018-06-01 11:02:33,2018-06-01 11:04:37,2m - 3.283s,PASSED
tap,,,2018-06-01 11:04:37,2018-06-01 11:04:42,5.404s,PASSED
setText,,,2018-06-01 11:04:42,2018-06-01 11:04:44,1.542s,PASSED
hideKeyboard,,,2018-06-01 11:04:44,2018-06-01 11:04:44,0.938s,PASSED
tap,,,2018-06-01 11:04:44,2018-06-01 11:04:46,1.914s,PASSED
setText,,,2018-06-01 11:04:46,2018-06-01 11:04:48,1.417s,PASSED
hideKeyboard,,,2018-06-01 11:04:48,2018-06-01 11:04:49,0.921s,PASSED
tap,,,2018-06-01 11:04:49,2018-06-01 11:04:49,0.742s,PASSED
verifyElementAttributeValue,,,2018-06-01 11:04:49,2018-06-01 11:04:53,3.811s,FAILED
