Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DigiBankIN_Web_Login,Chrome 66.0.3359.181,,2018-06-01 15:37:20,2018-06-01 15:37:39,19.723s,PASSED
,,,,,,
Test Cases/Web/DigiBankIN_Login_TC001_BlankUserName_ErrorValidation,Chrome 66.0.3359.181,,2018-06-01 15:37:20,2018-06-01 15:37:39,19.129s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-06-01 15:37:20,2018-06-01 15:37:33,12.199s,PASSED
abc.newKeyword.myCustomPrint,Chrome 66.0.3359.181,,2018-06-01 15:37:33,2018-06-01 15:37:33,0.009s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-06-01 15:37:33,2018-06-01 15:37:33,0.106s,PASSED
click,Chrome 66.0.3359.181,,2018-06-01 15:37:33,2018-06-01 15:37:33,0.149s,PASSED
click,Chrome 66.0.3359.181,,2018-06-01 15:37:33,2018-06-01 15:37:33,0.404s,PASSED
switchToWindowTitle,Chrome 66.0.3359.181,,2018-06-01 15:37:33,2018-06-01 15:37:36,2.586s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-06-01 15:37:36,2018-06-01 15:37:36,0.285s,PASSED
click,Chrome 66.0.3359.181,,2018-06-01 15:37:36,2018-06-01 15:37:37,0.676s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-01 15:37:37,2018-06-01 15:37:37,0.131s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-06-01 15:37:37,2018-06-01 15:37:37,0.077s,PASSED
click,Chrome 66.0.3359.181,,2018-06-01 15:37:37,2018-06-01 15:37:37,0.138s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-01 15:37:37,2018-06-01 15:37:38,0.227s,PASSED
click,Chrome 66.0.3359.181,,2018-06-01 15:37:38,2018-06-01 15:37:38,0.193s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-06-01 15:37:38,2018-06-01 15:37:38,0.612s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-06-01 15:37:38,2018-06-01 15:37:39,0.965s,PASSED
